5241
7247	8468	2954	4006	6689	4791	0978
1872	6183	2662	9356	8380	7208	0624
4005	3297	7654	3850	4174	9240	8637
7363	3574	9396	5035	6693	5562	4807
0521	5604	4585	1513	9215	7123	4832
0865	5619	6117	9858	8834	5331	3110
2251	3805	9973	5734	1047	5009	3726
7301	9892	6295	9079	8367	6337	0149
5445	1673	2030	2642	4018	1579	3281
7184	0646	8499	7820	4133	3697	6138
6368	0413	2083	1971	9320	4782	1791
7248	8415	4627	5170	3802	7587	2980
9236	0655	3101	5964	4453	6814	1288
2049	0574	4653	3938	2985	1429	6474
7859	8266	3678	8699	9213	0169	2894
3325	4781	8028	0413	7911	6546	1444
5628	9571	4237	2823	9064	4739	5480
0627	7368	3017	8573	0121	5098	4813
0903	7095	6371	1600	8287	4710	6742
9301	2490	1295	1498	8674	5983	0364
9146	6022	2701	7862	4608	8177	1356
9545	0492	5124	6409	0626	7089	1964
4178	7752	4611	1337	8949	3591	2185
6952	1890	3458	2919	4466	5601	9082
0586	8124	3462	7858	1277	5334	3596
6617	7153	4502	0721	9372	2830	4298
1580	3044	0703	5356	1603	6025	3862
7348	1653	3461	5604	5247	0874	2418
9097	2416	6923	8788	8651	2703	5894
4361	7430	0954	1384	8690	9622	3879
6840	2367	5227	7303	9734	0421	4263
1479	2001	6755	3629	5543	9476	7434
2494	8310	0503	6937	4069	0508	1909
8173	3847	5277	0536	6375	2704	9460
4546	8396	3684	5433	0851	1367	8748
2070	6907	2393	8628	9053	3274	5635
7545	9780	9446	5968	2800	7627	0472
9987	1265	0791	3144	7595	1906	0059
6547	4278	8159	7934	2440	9083	1735
2161	5640	1272	0420	8268	3841	6950
4284	2604	9595	8302	0148	2542	7119
0733	7659	1410	3790	8954	0026	3275
6908	5087	6862	7970	5480	2849	6152
4514	2946	4234	9471	2616	7245	9314
1081	8805	3138	8092	9076	5850	3694
6212	2060	7526	0432	7757	4608	9297
5621	5801	9969	5495	0838	8507	1510
8064	9740	0195	6922	5019	2853	3598
7441	0284	7076	6632	1068	4904	1772
8311	4283	1748	6084	7620	4011	9871
2308	0667	9716	7079	3107	6946	8577
0275	5339	8891	4203	7814	5748	2520

2023	9565	5186	2005	6737	9678	4799
8671	1659	3387	9677	8948	2712	0551
9764	5702	6376	3300	1057	6143	4084
2706	7683	0312	8157	9133	4368	8388
5831	3253	9324	7563	4935	3018	0979
1160	1307	9629	6487	8931	2519	7815
5760	5391	4438	0658	5522	9934	5195
3244	4189	6943	3891	5003	2837	0092
0250	8612	4881	6217	4023	7982	8213
3559	2207	9867	4857	6084	3941	6406
7880	1836	1542	7483	2534	8011	1637
7846	2494	6229	3470	7055	5997	1129
9800	1242	0162	6950	3094	2236	2854
9756	7617	7299	6882	1978	4293	8320
3069	8447	2072	9714	6740	1407	2183
2966	7101	9450	6388	8728	4465	2670
9590	0121	6287	3662	5027	7830	1076
2503	0314	7989	9148	5890	4410	5933
8228	3035	2801	9630	1393	6354	4773
0951	3315	5187	2585	7412	4124	1842
8293	3052	6438	2089	2322	9147	1531
0946	3352	3996	5877	0838	9353	5686
0763	3260	7624	6971	4916	9447	2764
7076	3540	1630	4887	6704	3226	7361
5752	8892	8138	0340	9012	7496	2601
9089	3723	8350	6008	9862	1920	5084
3605	9149	4492	0225	7956	8040	9171
3968	5290	6104	8029	0353	7609	2488
3520	7262	0725	2442	3935	5267	9670
3326	5805	1634	8450	0636	6182	1926
7568	2944	7892	4020	9656	3212	2784
5838	0378	6760	8456	3965	1280	6034
8296	7122	4533	0461	9070	1393	4118
5985	0549	8074	0963	5305	1490	7618
3843	6519	0498	7267	9057	7116	3768
5976	8461	9647	2480	6091	4525	8145
3401	4982	2774	9690	6421	8508	1762
5213	3070	5714	3247	7388	4194	5938
3019	6829	9544	4036	7401	9792	1373
2234	5182	3140	0732	4577	8098	9954
6411	3486	9560	7336	2852	0390	6764
7571	8034	4240	0768	6053	5671	9597
7150	0749	9079	1694	7913	1359	0701
1296	6409	3113	5457	3071	1403	6317
1979	5214	1362	4283	0181	5260	4305
7938	8252	9581	0453	9244	8608	0939
8298	9964	1380	2779	9257	4074	8493
0905	5769	3868	8650	6593	4900	2745
1838	7161	8423	3054	2349	0896	2752
0195	9338	5569	2601	5492	2865	1070
1420	6254	9221	8070	3924	2538	5604
5262	8135	4598	3756	7085	6159	7901
5760	0279					

9006	0141	6393	2704	5386
8962	4578	3045	2953	6474	9781	7268
9873	8336	5046	6293	0682	3900	2763
3572	7344	2576	9097	5282	4689	0893
7610	7402	6964	2301	8565	8648	3056
0174	9220	3858	9081	0676	4705	0541
8224	0194	3116	1042	0491	2879	9665
6901	5216	1695	8506	4492	7583	2300
9064	6848	0919	5171	8785	1422	4360
6584	5958	3074	1808	7796	3573	5180
6364	8496	9619	1765	0305	4802	1537
7188	2067	9378	3424	4964	0540	4056
9793	6255	3723	8437	0516	4931	1834
9182	5223	6818	2591	7532	1065	8482
3976	7020	9150	1744	5807	0373	6213
8961	4645	9761	6627	8941	3832	2196
7680	2766	4308	6239	7062	3237	4495
5161	1935	2681	8313	3786	0506	1887
6460	9516	3650	0019	1361	2526	6995
6353	5075	2619	8317	5252	3570	2887
6296	9157	1839	5363	1085	2791	2969
0673	7168	0654	2713	6495	8694	9386
6112	7675	5721	2484	0297	6948	0975
9890	4730	7631	5912	9880	4264	8840
2194	3122	4871	1228	9447	9672	0904
0621	6403	0277	0641	0872	2086	5765
8400	2241	3683	6204	2856	6021	4669
7712	9345	1120	1980	0533	3890	5475
4706	1434	2047	7262	8052	4986	5828
0515	6774	3482	9355	4299	2951	0579
8164	5753	7228	4087	0470	2625	9869
5276	7390	4151	2481	0915	8544	7829
6252	9732	5813	2658	5201	0385	8169
0073	7402	0324	2914	4247	1643	4102
6210	5498	8710	1335	1489	9077	3448
0092	7613	4227	9700	0363	6017	0296
1756	2629	9825	5114	0588	8769	3982
4576	9644	8348	5782	7826	9849	4107
5895	9829	4214	8708	8259	5648	2566
9103	3804	0027	3862	8717	6639	7262
9044	0887	7179	2808	9467	4961	1845
0487	0593	3435	2793	7013	8741	5337
7463	9359	8250	0376	9202	4063	6874
0489	2843	3752	8644	2962	6937	0559
8445	2429	5879	9158	5364	2190	3358
1452	0380	5277	1637	1499	8992	0451
2263	6987	7070	1567	9804	5902	3265
1026	9651	3872	9680	1825	6834	6176
2243	1563	5170	8221	7896	9231	3370
1885	6349	4308	3934	7993	0371	1107
6865	3894	6650	1321	7085	3941	8726
7307	9430	1876	0690	3493	7132	8082
7003	5655	7608				

3849	8909	8448	9184
4864	5730	5991	9766	7005	8551	0940
3688	4043	9301	4967	5889	9385	2771
1297	9578	2931	5741	1105	2736	3352
6244	1353	4461	3249	5207	9957	7925
4767	9211	6525	4181	7543	4223	0428
6794	3091	8069	2971	8300	7445	8853
1092	9569	7105	3798	0286	7344	2072
8331

8331
